id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
34220,https://www.airbnb.com/rooms/34220,20231218032538,2023-12-18,previous scrape,Rental unit in Ottawa · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/192935/3bf5a8f4_original.jpg,147438,https://www.airbnb.com/users/show/147438,Mark,2010-06-18,,"",N/A,N/A,N/A,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,[],f,f,,Capital,,45.40924,-75.679,Private room in rental unit,Private room,2,,1 bath,,1,[],$202.00,30,31,30,30,31,31,30.0,31.0,,t,0,0,0,0,2023-12-18,0,0,0,,,,,,,,,,,f,1,0,1,0,
261065,https://www.airbnb.com/rooms/261065,20231218032538,2023-12-18,city scrape,Rental unit in Ottawa · ★4.96 · 1 bedroom · 1 bed · 1 bath,,"Westboro Village is a century-old community, and was once the heart of Nepean Township. The old stone town hall still proudly stands on Richmond Road, the original route westward from Bytown. Three blocks to the west is Maplelawn manor, Ottawa's second oldest building (built in 1831) and a National Historic site, which now houses a Keg steak restaurant and features a vintage walled garden open to the public.",https://a0.muscache.com/pictures/2561680/6c6849f7_original.jpg,1369632,https://www.airbnb.com/users/show/1369632,Glenn,2011-11-04,"Ottawa, Canada","My adventurous spirit was awakened when I went on a three-month backpacking trip around Europe after I graduated from university. Each and every year since, I've made a point of travelling somewhere different and interesting. I later discovered my passion for bicycle touring and most of my journeys from 1994 on have been on two wheels. I enjoy meeting new people, and for me, welcoming guests to my home often feels like travelling without leaving the house.

I am an industrial designer by training, but I have specialized in exhibit and environmental graphic design. Most of my work is with the national museums in Ottawa and with the National Capital Commission. I have lived in Ottawa for over three decades and have acquired a fondness for Ottawa's history and culture and try my best to pass on its stories and traditions.

Living in an area that is a confluence of rivers and waterways, I am also an avid paddler. I enjoy taking people on a canoe or kayak out on the Ottawa River to experience its special spirit, or on the Rideau Canal for its rich heritage.",within an hour,100%,92%,t,https://a0.muscache.com/im/users/1369632/profile_pic/1371155770/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1369632/profile_pic/1371155770/original.jpg?aki_policy=profile_x_medium,Carlingwood - McKellar Park - Laurentien View,1,1,"['email', 'phone']",t,t,"Ottawa, Ontario, Canada",Kitchissippi,,45.39084,-75.75621,Entire rental unit,Entire home/apt,4,,1 bath,,1,[],$175.00,3,180,3,3,180,180,3.0,180.0,,t,0,0,0,0,2023-12-18,95,14,0,2011-12-24,2023-11-05,4.96,4.99,4.97,4.99,4.94,4.96,4.89,STR-825-691,f,1,1,0,0,0.65
290033,https://www.airbnb.com/rooms/290033,20231218032538,2023-12-18,previous scrape,Home in North Gower · ★5.0 · 2 bedrooms · 2 beds · 1 bath,,Most folks ask about Strathmere - we are less than 1 km away!,https://a0.muscache.com/pictures/3016522/1e453318_original.jpg,415201,https://www.airbnb.com/users/show/415201,Daniel,2011-02-28,"Ottawa, Canada","Working professional (KPMG). Living with a 4 year-old. Living the country life in rural Ottawa, but like to travel as much as we can afford.",within a few hours,100%,100%,f,https://a0.muscache.com/im/users/415201/profile_pic/1323882711/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/415201/profile_pic/1323882711/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"North Gower, Ontario, Canada",Rideau-Goulbourn,,45.1682,-75.71208,Entire home,Entire home/apt,4,,1 bath,,2,[],,2,7,2,2,7,7,2.0,7.0,,,0,0,0,0,2023-12-18,6,1,0,2013-02-19,2023-10-09,5.0,5.0,5.0,5.0,4.83,5.0,5.0,STR-834-339,f,1,1,0,0,0.05
336692,https://www.airbnb.com/rooms/336692,20231218032538,2023-12-18,city scrape,Rental unit in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,,Walking distance to:<br />-Parliament<br />-Downtown<br />-Byward market<br />-Chinatown<br />-Little italy<br />-Rideau canal<br />-Ottawa river<br />-Buses<br />-Biking <br />-NAC<br />-National Art gallery<br />-Many museums<br />-Central library<br />-Airport by bus,https://a0.muscache.com/pictures/12173287/8d76ab59_original.jpg,1712975,https://www.airbnb.com/users/show/1712975,Elena,2012-02-07,"Ottawa, Canada","I am Elena. I am a peaceful person living in a beautiful Ottawa condo with a river view. I share my space with my guests and often travel using Airbnb myself. My hobbies are poodles, yoga, tango, cooking and cultural events. I am always ready to share my knowledge about culture in Ottawa. I hope you will enjoy your stay in my happy space with me and my little poodle Joy. ",a few days or more,0%,N/A,f,https://a0.muscache.com/im/pictures/user/096288eb-a6a6-412b-aa39-106b74fde2b3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/096288eb-a6a6-412b-aa39-106b74fde2b3.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,"Ottawa, Ontario, Canada",Somerset,,45.4174,-75.7043,Private room in rental unit,Private room,2,,1 shared bath,,1,[],$779.00,30,300,30,30,300,300,30.0,300.0,,t,30,60,90,365,2023-12-18,12,0,0,2017-07-02,2022-06-01,5.0,5.0,5.0,5.0,4.92,5.0,5.0,,f,1,0,1,0,0.15
490182,https://www.airbnb.com/rooms/490182,20231218032538,2023-12-18,city scrape,Home in Ottawa · ★5.0 · 1 bedroom · 1 bed · 1 private bath,,"The worlds longest skating rink, a UNESCO heritage site, the Rideau Canal, is only a 5  minute walk. The General Hospital and CHEO on Smyth, are a 5 minute drive. Our neighborhood is very pedestrian and green. The nearby Brentwood park features open air tennis courts.",https://a0.muscache.com/pictures/5a7e6363-5b91-42c5-aa1e-a7a65653bb9f.jpg,2401179,https://www.airbnb.com/users/show/2401179,Ela,2012-05-17,,"We love to slow travel throughout the world without a strict itinerary, taking time to discover and immerse ourselves in the rich cultures, customs, languages and architecture of the countries we visit. We are always humbled by what we learn.",within an hour,100%,98%,f,https://a0.muscache.com/im/users/2401179/profile_pic/1359319135/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2401179/profile_pic/1359319135/original.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone']",t,t,"Ottawa, 1, Canada",Capital,,45.4055,-75.67612,Private room in home,Private room,1,,1 private bath,,1,[],$72.00,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,121,2023-12-18,9,0,0,2018-04-29,2022-09-27,5.0,5.0,5.0,5.0,5.0,4.89,4.78,,f,1,0,1,0,0.13
674799,https://www.airbnb.com/rooms/674799,20231218032538,2023-12-18,city scrape,Home in Ottawa · ★4.61 · 5 bedrooms · 4 beds · 1 bath,,"Backstreet, small family oriented, peaceful, clean and quiet",https://a0.muscache.com/pictures/e97ba375-d3d1-400b-a65e-868474699077.jpg,2058676,https://www.airbnb.com/users/show/2058676,William,2012-04-02,"Ottawa, Canada","We have been living in Ottawa for years. I am a statistician for Federal government and my wife works for City of Ottawa. We love traveling and do our trips whenever there is a chance. We used lots of Airbnb and B&B. We know what travelers need and would like to serve them the best as they are ""us"".

Please introduce yourself and your group as we need to know our guests as you do.
You are welcome to our house!

",within a few hours,100%,71%,t,https://a0.muscache.com/im/pictures/user/92bb7628-d41f-4ab9-9504-87032baa65fb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/92bb7628-d41f-4ab9-9504-87032baa65fb.jpg?aki_policy=profile_x_medium,,1,8,['phone'],t,t,"Ottawa, Ontario, Canada",Gloucester-South Nepean,,45.2691,-75.72197,Entire home,Entire home/apt,8,,1 bath,,4,[],$66.00,1,90,1,1,90,90,1.0,90.0,,t,28,58,88,363,2023-12-18,62,12,1,2013-07-02,2023-11-20,4.61,4.65,4.71,4.82,4.84,4.67,4.61,STR-827-424,f,1,1,0,0,0.49
682632,https://www.airbnb.com/rooms/682632,20231218032538,2023-12-18,city scrape,Home in Ottawa · ★4.86 · 2 bedrooms · 2 beds · 1 bath,,"This is one of the trediest, most walkable neighbourhoods in Ottawa. Close to shops, restaurants, bike and walking paths, beaches, live theatre, art galleries...it is a great location to enjoy Ottawa from.",https://a0.muscache.com/pictures/3dac520b-19e2-4f13-a1a5-6729b4e571f9.jpg,3201295,https://www.airbnb.com/users/show/3201295,Greg And Valerie,2012-08-08,"Ottawa, Canada","Hi! I'm Greg, Calgary born and happily transplanted to Ottawa. Educated and employed as an Economist,  I am also a trained Heritage Carpenter.  Owning and maintaining real estate is a passion of mine.  Giving back to the community is important to me and our business is a ""Champion of Hope"" financial donor for a local men's shelter in Ottawa, Ontario. 

Hi! I'm Valerie, and have been living in Ottawa for most of my life. My professional background is international development with a focus on finance and project management. I have toured the world - 200 cities in 61 countries - and I love to explore, travel, eat, cook and read.  My very first trip was to Haiti and my latest expedition was a fabulous  South African safari.  I am also a Personal Travel Designer and I love both five star journeys and budget backpacking.  My favourite poem is Invictus,  and I would describe myself as lucky, blessed, happy, a foodie, an early adopter, endlessly curious,  the wife of Greg and the mother of two fabulous daughters - who are global citizens.  

We feel very fortunate to be able to host so many wonderful guests in Ottawa. 

Cheers and hope to see you soon! 
Greg and Valerie 



 

",within a few hours,100%,92%,f,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_x_medium,Braemar Park - Bel Air Heights - Copeland Park,7,8,"['email', 'phone', 'work_email']",t,t,"Ottawa, Ontario, Canada",Kitchissippi,,45.40455,-75.7313,Entire home,Entire home/apt,4,,1 bath,,2,[],$122.00,30,1125,30,30,365,1125,30.0,1063.9,,t,0,0,0,157,2023-12-18,7,0,0,2015-10-25,2020-12-20,4.86,4.86,4.86,4.86,4.86,4.86,4.86,,f,7,3,4,0,0.07
682634,https://www.airbnb.com/rooms/682634,20231218032538,2023-12-18,city scrape,Townhouse in Ottawa · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,,"It is one of the best neighbourhoods in @Ottawa - @Wellington Village West - close to downtown, walking distance to shops, restaurants, live theatre, art galleries, bakeries...it is a fabulous neighbourhood!",https://a0.muscache.com/pictures/b15917ba-a19a-414e-87d0-5f20753f0eb0.jpg,3201295,https://www.airbnb.com/users/show/3201295,Greg And Valerie,2012-08-08,"Ottawa, Canada","Hi! I'm Greg, Calgary born and happily transplanted to Ottawa. Educated and employed as an Economist,  I am also a trained Heritage Carpenter.  Owning and maintaining real estate is a passion of mine.  Giving back to the community is important to me and our business is a ""Champion of Hope"" financial donor for a local men's shelter in Ottawa, Ontario. 

Hi! I'm Valerie, and have been living in Ottawa for most of my life. My professional background is international development with a focus on finance and project management. I have toured the world - 200 cities in 61 countries - and I love to explore, travel, eat, cook and read.  My very first trip was to Haiti and my latest expedition was a fabulous  South African safari.  I am also a Personal Travel Designer and I love both five star journeys and budget backpacking.  My favourite poem is Invictus,  and I would describe myself as lucky, blessed, happy, a foodie, an early adopter, endlessly curious,  the wife of Greg and the mother of two fabulous daughters - who are global citizens.  

We feel very fortunate to be able to host so many wonderful guests in Ottawa. 

Cheers and hope to see you soon! 
Greg and Valerie 



 

",within a few hours,100%,92%,f,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3201295/profile_pic/1422556870/original.jpg?aki_policy=profile_x_medium,Braemar Park - Bel Air Heights - Copeland Park,7,8,"['email', 'phone', 'work_email']",t,t,"Ottawa, Ontario, Canada",Kitchissippi,,45.4003,-75.73144,Entire townhouse,Entire home/apt,4,,1.5 baths,,2,[],$112.00,30,1125,30,30,365,1125,30.0,1062.1,,t,28,58,88,88,2023-12-18,9,3,1,2015-03-09,2023-11-30,4.89,5.0,4.89,5.0,5.0,4.89,4.78,Exempt,t,7,3,4,0,0.08
743359,https://www.airbnb.com/rooms/743359,20231218032538,2023-12-18,city scrape,Townhouse in Ottawa · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,,"My house is located in a family working neighbourhood. At times you will see children outside playing. <br /><br />The neighbourhood is mostly quiet. It is located close to Tim Horton’s, the community swimming pool, tennis courts and a nice park.  It is also located close to the shopping malls.",https://a0.muscache.com/pictures/miso/Hosting-743359/original/ef7fc7f5-27ed-47ee-b42a-a81b1c469be8.jpeg,3894080,https://www.airbnb.com/users/show/3894080,Maxine,2012-10-16,"Ottawa, Canada","Tall Black female who is a single mother of one girl.  I work during the days.  I have hosted international students for the past 9 years.  I fully understand how to share my space and how to make others feel comfortable and at home in my shared space.

I like to go shopping, to travel and to watch movies and to read.  I love travelling to the Caribbean and to Florida and other parts of the USA.  I love comedy shows, I  love music and dancing.  I also love to try a variety of foods.

I love to travel by land, air and rail.  I like staying at hotels and meeting interesting people.

My life motto is to live and let's live.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/432c0f86-2794-4237-97f5-179e27480cae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/432c0f86-2794-4237-97f5-179e27480cae.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Ottawa, Ontario, Canada",Gloucester-Southgate,,45.34836,-75.62882,Private room in townhouse,Private room,1,,1.5 shared baths,,1,[],$45.00,31,360,31,31,1125,1125,31.0,1125.0,,t,0,0,0,260,2023-12-18,15,1,0,2018-09-21,2023-01-23,4.73,4.67,4.93,4.87,4.8,4.53,4.6,,f,2,0,2,0,0.23
902575,https://www.airbnb.com/rooms/902575,20231218032538,2023-12-18,city scrape,Rental unit in Ottawa · ★4.57 · 1 bedroom · 1 bed · 1 shared bath,,,https://a0.muscache.com/pictures/13953755/2e541a3e_original.jpg,3895093,https://www.airbnb.com/users/show/3895093,Nicole,2012-10-16,"Ottawa, Canada",I am a dynamic person and I like to have fun and meet new people around the world.,N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/87310c92-b935-4dba-8196-8418e852fa31.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/87310c92-b935-4dba-8196-8418e852fa31.jpg?aki_policy=profile_x_medium,,1,10,"['email', 'phone', 'work_email']",t,t,,Somerset,,45.41753,-75.69297,Private room in rental unit,Private room,1,,1 shared bath,,1,[],$75.00,90,1125,90,90,1125,1125,90.0,1125.0,,t,30,60,90,90,2023-12-18,7,0,0,2013-05-27,2016-09-28,4.57,4.86,4.57,4.86,5.0,4.86,4.14,,f,1,0,1,0,0.05
